Date,Price
06-Apr-20,2663.680 
03-Apr-20,2488.650 
02-Apr-20,2526.900 
01-Apr-20,2470.500 
31-Mar-20,2584.590 
30-Mar-20,2626.650 
27-Mar-20,2541.470 
26-Mar-20,2630.070 
25-Mar-20,2475.560 
24-Mar-20,2447.330 
23-Mar-20,2237.400 
20-Mar-20,2304.920 
19-Mar-20,2409.390 
18-Mar-20,2398.100 
17-Mar-20,2529.190 
16-Mar-20,2386.130 
13-Mar-20,2711.020 
12-Mar-20,2480.640 
11-Mar-20,2741.380 
10-Mar-20,2882.230 
09-Mar-20,2746.560 
06-Mar-20,2972.370 
05-Mar-20,3023.940 
04-Mar-20,3130.120 
03-Mar-20,3003.370 
02-Mar-20,3090.230 
28-Feb-20,2954.220 
27-Feb-20,2978.760 
26-Feb-20,3116.390 
25-Feb-20,3128.210 
24-Feb-20,3225.890 
21-Feb-20,3337.750 
20-Feb-20,3373.230 
19-Feb-20,3386.150 
18-Feb-20,3370.290 
14-Feb-20,3380.160 
13-Feb-20,3373.940 
12-Feb-20,3379.450 
11-Feb-20,3357.750 
10-Feb-20,3352.090 
07-Feb-20,3327.710 
06-Feb-20,3345.780 
05-Feb-20,3334.690 
04-Feb-20,3297.590 
03-Feb-20,3248.920 
31-Jan-20,3225.520 
30-Jan-20,3283.660 
29-Jan-20,3273.400 
28-Jan-20,3276.240 
27-Jan-20,3243.630 
24-Jan-20,3295.470 
23-Jan-20,3325.540 
22-Jan-20,3321.750 
21-Jan-20,3320.790 
17-Jan-20,3329.620 
16-Jan-20,3316.810 
15-Jan-20,3289.290 
14-Jan-20,3283.150 
13-Jan-20,3288.130 
10-Jan-20,3265.350 
09-Jan-20,3274.700 
08-Jan-20,3253.050 
07-Jan-20,3237.180 
06-Jan-20,3246.280 
03-Jan-20,3234.850 
02-Jan-20,3257.850 
31-Dec-19,3230.780 
30-Dec-19,3221.290 
27-Dec-19,3240.020 
26-Dec-19,3239.910 
24-Dec-19,3223.380 
23-Dec-19,3224.010 
20-Dec-19,3221.220 
19-Dec-19,3205.370 
18-Dec-19,3191.140 
17-Dec-19,3192.520 
16-Dec-19,3191.450 
13-Dec-19,3168.800 
12-Dec-19,3168.570 
11-Dec-19,3141.630 
10-Dec-19,3132.520 
09-Dec-19,3135.960 
06-Dec-19,3145.910 
05-Dec-19,3117.430 
04-Dec-19,3112.760 
03-Dec-19,3093.200 
02-Dec-19,3113.870 
29-Nov-19,3140.980 
27-Nov-19,3153.630 
26-Nov-19,3140.520 
25-Nov-19,3133.640 
22-Nov-19,3110.290 
21-Nov-19,3103.540 
20-Nov-19,3108.460 
19-Nov-19,3120.180 
18-Nov-19,3122.030 
15-Nov-19,3120.460 
14-Nov-19,3096.630 
13-Nov-19,3094.040 
12-Nov-19,3091.840 
11-Nov-19,3087.010 
08-Nov-19,3093.080 
07-Nov-19,3085.180 
06-Nov-19,3076.780 
05-Nov-19,3074.620 
04-Nov-19,3078.270 
01-Nov-19,3066.910 
31-Oct-19,3037.560 
30-Oct-19,3046.770 
29-Oct-19,3036.890 
28-Oct-19,3039.420 
25-Oct-19,3022.550 
24-Oct-19,3010.290 
23-Oct-19,3004.520 
22-Oct-19,2995.990 
21-Oct-19,3006.720 
18-Oct-19,2986.200 
17-Oct-19,2997.950 
16-Oct-19,2989.690 
15-Oct-19,2995.680 
14-Oct-19,2966.150 
11-Oct-19,2970.270 
10-Oct-19,2938.130 
09-Oct-19,2919.400 
08-Oct-19,2893.060 
07-Oct-19,2938.790 
04-Oct-19,2952.010 
03-Oct-19,2910.630 
02-Oct-19,2887.610 
01-Oct-19,2940.250 
30-Sep-19,2976.740 
27-Sep-19,2961.790 
26-Sep-19,2977.620 
25-Sep-19,2984.870 
24-Sep-19,2966.600 
23-Sep-19,2991.780 
20-Sep-19,2992.070 
19-Sep-19,3006.790 
18-Sep-19,3006.730 
17-Sep-19,3005.700 
16-Sep-19,2997.960 
13-Sep-19,3007.390 
12-Sep-19,3009.570 
11-Sep-19,3000.930 
10-Sep-19,2979.390 
09-Sep-19,2978.430 
06-Sep-19,2978.710 
05-Sep-19,2976.000 
04-Sep-19,2937.780 
03-Sep-19,2906.270 
30-Aug-19,2926.460 
29-Aug-19,2924.580 
28-Aug-19,2887.940 
27-Aug-19,2869.160 
26-Aug-19,2878.380 
23-Aug-19,2847.110 
22-Aug-19,2922.950 
21-Aug-19,2924.430 
20-Aug-19,2900.510 
19-Aug-19,2923.650 
16-Aug-19,2888.680 
15-Aug-19,2847.600 
14-Aug-19,2840.600 
13-Aug-19,2926.320 
12-Aug-19,2883.750 
09-Aug-19,2918.650 
08-Aug-19,2938.090 
07-Aug-19,2883.980 
06-Aug-19,2881.770 
05-Aug-19,2844.740 
02-Aug-19,2932.050 
01-Aug-19,2953.560 
31-Jul-19,2980.380 
30-Jul-19,3013.180 
29-Jul-19,3020.970 
26-Jul-19,3025.860 
25-Jul-19,3003.670 
24-Jul-19,3019.560 
23-Jul-19,3005.470 
22-Jul-19,2985.030 
19-Jul-19,2976.610 
18-Jul-19,2995.110 
17-Jul-19,2984.420 
16-Jul-19,3004.040 
15-Jul-19,3014.300 
12-Jul-19,3013.770 
11-Jul-19,2999.910 
10-Jul-19,2993.070 
09-Jul-19,2979.630 
08-Jul-19,2975.950 
05-Jul-19,2990.410 
03-Jul-19,2995.820 
02-Jul-19,2973.010 
01-Jul-19,2964.330 
28-Jun-19,2941.760 
27-Jun-19,2924.920 
26-Jun-19,2913.780 
25-Jun-19,2917.380 
24-Jun-19,2945.350 
21-Jun-19,2950.460 
20-Jun-19,2954.180 
19-Jun-19,2926.460 
18-Jun-19,2917.750 
17-Jun-19,2889.670 
14-Jun-19,2886.980 
13-Jun-19,2891.640 
12-Jun-19,2879.840 
11-Jun-19,2885.720 
10-Jun-19,2886.730 
07-Jun-19,2873.340 
06-Jun-19,2843.490 
05-Jun-19,2826.150 
04-Jun-19,2803.270 
03-Jun-19,2744.450 
31-May-19,2752.060 
30-May-19,2788.860 
29-May-19,2783.020 
28-May-19,2802.390 
24-May-19,2826.060 
23-May-19,2822.240 
22-May-19,2856.270 
21-May-19,2864.360 
20-May-19,2840.230 
17-May-19,2859.530 
16-May-19,2876.320 
15-May-19,2850.960 
14-May-19,2834.410 
13-May-19,2811.870 
10-May-19,2881.400 
09-May-19,2870.720 
08-May-19,2879.420 
07-May-19,2884.050 
06-May-19,2932.470 
03-May-19,2945.640 
02-May-19,2917.520 
01-May-19,2923.730 
30-Apr-19,2945.830 
29-Apr-19,2943.030 
26-Apr-19,2939.880 
25-Apr-19,2926.170 
24-Apr-19,2927.250 
23-Apr-19,2933.680 
22-Apr-19,2907.970 
18-Apr-19,2905.030 
17-Apr-19,2900.450 
16-Apr-19,2907.060 
15-Apr-19,2905.580 
12-Apr-19,2907.410 
11-Apr-19,2888.320 
10-Apr-19,2888.210 
09-Apr-19,2878.200 
08-Apr-19,2895.770 
05-Apr-19,2892.740 
04-Apr-19,2879.390 
03-Apr-19,2873.400 
02-Apr-19,2867.240 
01-Apr-19,2867.190 
29-Mar-19,2834.400 
28-Mar-19,2815.440 
27-Mar-19,2805.370 
26-Mar-19,2818.460 
25-Mar-19,2798.360 
22-Mar-19,2800.710 
21-Mar-19,2854.880 
20-Mar-19,2824.230 
19-Mar-19,2832.570 
18-Mar-19,2832.940 
15-Mar-19,2822.480 
14-Mar-19,2808.480 
13-Mar-19,2810.920 
12-Mar-19,2791.520 
11-Mar-19,2783.300 
08-Mar-19,2743.070 
07-Mar-19,2748.930 
06-Mar-19,2771.450 
05-Mar-19,2789.650 
04-Mar-19,2792.810 
01-Mar-19,2803.690 
28-Feb-19,2784.490 
27-Feb-19,2792.380 
26-Feb-19,2793.900 
25-Feb-19,2796.110 
22-Feb-19,2792.670 
21-Feb-19,2774.880 
20-Feb-19,2784.700 
19-Feb-19,2779.760 
15-Feb-19,2775.600 
14-Feb-19,2745.730 
13-Feb-19,2753.030 
12-Feb-19,2744.730 
11-Feb-19,2709.800 
08-Feb-19,2707.880 
07-Feb-19,2706.050 
06-Feb-19,2731.610 
05-Feb-19,2737.700 
04-Feb-19,2724.870 
01-Feb-19,2706.530 
31-Jan-19,2704.100 
30-Jan-19,2681.050 
29-Jan-19,2640.000 
28-Jan-19,2643.850 
25-Jan-19,2664.760 
24-Jan-19,2642.330 
23-Jan-19,2638.700 
22-Jan-19,2632.900 
18-Jan-19,2670.710 
17-Jan-19,2635.960 
16-Jan-19,2616.100 
15-Jan-19,2610.300 
14-Jan-19,2582.610 
11-Jan-19,2596.260 
10-Jan-19,2596.640 
09-Jan-19,2584.960 
08-Jan-19,2574.410 
07-Jan-19,2549.690 
04-Jan-19,2531.940 
03-Jan-19,2447.890 
02-Jan-19,2510.030 
31-Dec-18,2506.850 
28-Dec-18,2485.740 
27-Dec-18,2488.830 
26-Dec-18,2467.700 
24-Dec-18,2351.100 
21-Dec-18,2416.620 
20-Dec-18,2467.420 
19-Dec-18,2506.960 
18-Dec-18,2546.160 
17-Dec-18,2545.940 
14-Dec-18,2599.950 
13-Dec-18,2650.540 
12-Dec-18,2651.070 
11-Dec-18,2636.780 
10-Dec-18,2637.720 
07-Dec-18,2633.080 
06-Dec-18,2695.950 
04-Dec-18,2700.060 
03-Dec-18,2790.370 
30-Nov-18,2760.170 
29-Nov-18,2737.760 
28-Nov-18,2743.790 
27-Nov-18,2682.170 
26-Nov-18,2673.450 
23-Nov-18,2632.560 
21-Nov-18,2649.930 
20-Nov-18,2641.890 
19-Nov-18,2690.730 
16-Nov-18,2736.270 
15-Nov-18,2730.200 
14-Nov-18,2701.580 
13-Nov-18,2722.180 
12-Nov-18,2726.220 
09-Nov-18,2781.010 
08-Nov-18,2806.830 
07-Nov-18,2813.890 
06-Nov-18,2755.450 
05-Nov-18,2738.310 
02-Nov-18,2723.060 
01-Nov-18,2740.370 
31-Oct-18,2711.740 
30-Oct-18,2682.630 
29-Oct-18,2641.250 
26-Oct-18,2658.690 
25-Oct-18,2705.570 
24-Oct-18,2656.100 
23-Oct-18,2740.690 
22-Oct-18,2755.880 
19-Oct-18,2767.780 
18-Oct-18,2768.780 
17-Oct-18,2809.210 
16-Oct-18,2809.920 
15-Oct-18,2750.790 
12-Oct-18,2767.130 
11-Oct-18,2728.370 
10-Oct-18,2785.680 
09-Oct-18,2880.340 
08-Oct-18,2884.430 
05-Oct-18,2885.570 
04-Oct-18,2901.610 
03-Oct-18,2925.510 
02-Oct-18,2923.430 
01-Oct-18,2924.590 
28-Sep-18,2913.980 
27-Sep-18,2914.000 
26-Sep-18,2905.970 
25-Sep-18,2915.560 
24-Sep-18,2919.370 
21-Sep-18,2929.670 
20-Sep-18,2930.750 
19-Sep-18,2907.950 
18-Sep-18,2904.310 
17-Sep-18,2888.800 
14-Sep-18,2904.980 
13-Sep-18,2904.180 
12-Sep-18,2888.920 
11-Sep-18,2887.890 
10-Sep-18,2877.130 
07-Sep-18,2871.680 
06-Sep-18,2878.050 
05-Sep-18,2888.600 
04-Sep-18,2896.720 
31-Aug-18,2901.520 
30-Aug-18,2901.130 
29-Aug-18,2914.040 
28-Aug-18,2897.520 
27-Aug-18,2896.740 
24-Aug-18,2874.690 
23-Aug-18,2856.980 
22-Aug-18,2861.820 
21-Aug-18,2862.960 
20-Aug-18,2857.050 
17-Aug-18,2850.130 
16-Aug-18,2840.690 
15-Aug-18,2818.370 
14-Aug-18,2839.960 
13-Aug-18,2821.930 
10-Aug-18,2833.280 
09-Aug-18,2853.580 
08-Aug-18,2857.700 
07-Aug-18,2858.450 
06-Aug-18,2850.400 
03-Aug-18,2840.350 
02-Aug-18,2827.220 
01-Aug-18,2813.360 
31-Jul-18,2816.290 
30-Jul-18,2802.600 
27-Jul-18,2818.820 
26-Jul-18,2837.440 
25-Jul-18,2846.070 
24-Jul-18,2820.400 
23-Jul-18,2806.980 
20-Jul-18,2801.830 
19-Jul-18,2804.490 
18-Jul-18,2815.620 
17-Jul-18,2809.550 
16-Jul-18,2798.430 
13-Jul-18,2801.310 
12-Jul-18,2798.290 
11-Jul-18,2774.020 
10-Jul-18,2793.840 
09-Jul-18,2784.170 
06-Jul-18,2759.820 
05-Jul-18,2736.610 
03-Jul-18,2713.220 
02-Jul-18,2726.710 
29-Jun-18,2718.370 
28-Jun-18,2716.310 
27-Jun-18,2699.630 
26-Jun-18,2723.060 
25-Jun-18,2717.070 
22-Jun-18,2754.880 
21-Jun-18,2749.760 
20-Jun-18,2767.320 
19-Jun-18,2762.590 
18-Jun-18,2773.750 
15-Jun-18,2779.660 
14-Jun-18,2782.490 
13-Jun-18,2775.630 
12-Jun-18,2786.850 
11-Jun-18,2782.000 
08-Jun-18,2779.030 
07-Jun-18,2770.370 
06-Jun-18,2772.350 
05-Jun-18,2748.800 
04-Jun-18,2746.870 
01-Jun-18,2734.620 
31-May-18,2705.270 
30-May-18,2724.010 
29-May-18,2689.860 
25-May-18,2721.330 
24-May-18,2727.760 
23-May-18,2733.290 
22-May-18,2724.440 
21-May-18,2733.010 
18-May-18,2712.970 
17-May-18,2720.130 
16-May-18,2722.460 
15-May-18,2711.450 
14-May-18,2730.130 
11-May-18,2727.720 
10-May-18,2723.070 
09-May-18,2697.790 
08-May-18,2671.920 
07-May-18,2672.630 
04-May-18,2663.420 
03-May-18,2629.730 
02-May-18,2635.670 
01-May-18,2654.800 
30-Apr-18,2648.050 
27-Apr-18,2669.910 
26-Apr-18,2666.940 
25-Apr-18,2639.400 
24-Apr-18,2634.560 
23-Apr-18,2670.290 
20-Apr-18,2670.140 
19-Apr-18,2693.130 
18-Apr-18,2708.640 
17-Apr-18,2706.390 
16-Apr-18,2677.840 
13-Apr-18,2656.300 
12-Apr-18,2663.990 
11-Apr-18,2642.190 
10-Apr-18,2656.870 
09-Apr-18,2613.160 
06-Apr-18,2604.470 
05-Apr-18,2662.840 
04-Apr-18,2644.690 
03-Apr-18,2614.450 
02-Apr-18,2581.880 
29-Mar-18,2640.870 
